name     ,alt_name   ,ra         ,dec        ,vmag,bv_color,helio_distance,metallicity,radial_velocity,radial_velocity_error,central_sigma_v,central_sigma_v_error,half_light_radius,,rhalf,MV
NGC 6401 ,           ,17 38 36.60,-23 54 34.2,9.45,1.58,10.6,-1.02,-65,8.6,               ,                     ,1.91,0.000277798,5.889317547,-5.676529326
NGC 6656 ,M 22       ,18 36 23.94,-23 54 17.1,5.1,0.98,3.2,-1.7,-146.3,0.2,7.8,0.3,3.36,0.000488692,3.127627129,-7.425749892
NGC 6325 ,           ,17 17 59.21,-23 45 57.6,10.33,1.66,7.8,-1.25,29.8,1.8,5.9,1.3,0.63,9.16297E-05,1.429423446,-4.130473013
NGC 6642 ,           ,18 31 54.10,-23 28 30.7,9.13,1.11,8.1,-1.26,-57.2,5.4,               ,                     ,0.73,0.000106174,1.720020519,-5.412425094
NGC 7099 ,M 30       ,21 40 22.12,-23 10 47.5,7.19,0.6,8.1,-2.27,-184.2,0.2,5.5,0.4,1.03,0.000149807,2.426878257,-7.352425094
NGC 6093 ,M 80       ,16 17 02.41,-22 58 33.9,7.33,0.84,10,-1.75,8.1,1.5,12.4,0.6,0.61,8.87208E-05,1.774416569,-7.67
Terzan 12,           ,18 12 15.80,-22 44 31.0,15.63,        ,4.8,-0.5,94.1,1.5,               ,                     ,0.75,0.000109083,1.047196663,2.223793813
NGC 6287 ,           ,17 05 09.13,-22 42 30.1,9.35,1.2,9.4,-2.1,-288.7,3.5,               ,                     ,0.74,0.000107629,2.023416663,-5.515639268
NGC 6717 ,Pal 9      ,18 55 06.04,-22 42 05.3,9.28,1,7.1,-1.26,22.8,3.4,               ,                     ,0.68,9.89019E-05,1.404407081,-4.976291744
NGC 6235 ,           ,16 53 25.31,-22 10 38.8,9.97,1.05,11.5,-1.28,87.3,3.4,               ,                     ,1,0.000145444,3.34521155,-5.333489202
NGC 6864 ,M 75       ,20 06 04.69,-21 55 16.2,8.52,0.87,20.9,-1.29,-189.3,3.6,10.3,1.5,0.46,6.69042E-05,2.796596872,-8.080731431
Pal 12   ,           ,21 46 38.84,-21 15 09.4,11.99,1.07,19,-0.85,27.8,1.5,               ,                     ,1.72,0.000250164,9.506218431,-4.403768005
Eridanus ,           ,04 24 44.50,-21 11 13.0,14.7,0.79,90.1,-1.43,-23.6,2.1,               ,                     ,0.46,6.69042E-05,12.05614249,-5.073623955
NGC 5897 ,           ,15 17 24.50,-21 00 37.0,8.53,0.74,12.5,-1.9,101.5,1,               ,                     ,2.06,0.000299615,7.490364822,-6.954550065
2MS-GC02 ,2MASS-GC02 ,18 09 36.50,-20 46 44.0,24.6,        ,4.9,-1.08,-238,36,               ,                     ,0.55,7.99942E-05,0.783943059,11.1490196
NGC 6440 ,           ,17 48 52.70,-20 21 36.9,9.2,1.97,8.5,-0.36,-76.6,2.7,               ,                     ,0.48,6.98131E-05,1.186822887,-5.447094629
2MS-GC01 ,2MASS-GC01 ,18 08 21.81,-19 49 47.0,27.74,        ,3.6,           ,               ,                     ,               ,                     ,1.65,0.000239983,1.727874467,14.9584875
Pal 8    ,           ,18 41 29.90,-19 49 33.0,11.02,1.22,12.8,-0.37,-43,15,               ,                     ,0.58,8.43575E-05,2.159552232,-4.516049848
NGC 6342 ,           ,17 21 10.08,-19 35 14.7,9.66,1.26,8.5,-0.55,115.7,1.4,5.2,2.1,0.73,0.000106174,1.804959803,-4.987094629
NGC 6333 ,M 9        ,17 19 11.26,-18 30 57.4,7.72,0.97,7.9,-1.77,229.1,7,               ,                     ,0.96,0.000139626,2.206094297,-6.768135456
NGC 6356 ,           ,17 23 34.93,-17 48 46.9,8.25,1.13,15.1,-0.4,27,4.3,               ,                     ,0.81,0.00011781,3.557850659,-7.644884736
GLIMPSE02,           ,18 18 30.50,-16 58 38.0,     ,        ,5.5,-0.33,               ,                     ,               ,                     ,                 ,#VALUE!,#VALUE!,#VALUE!
NGC 7492 ,           ,23 08 26.63,-15 36 41.4,11.29,0.42,26.3,-1.78,-177.5,0.6,1.2,1,1.15,0.000167261,8.797906358,-5.809778742
NGC 6171 ,M 107      ,16 32 31.86,-13 03 13.6,7.93,1.1,6.4,-1.02,-34.1,0.3,4.1,0.3,1.73,0.000251618,3.220711458,-6.10089987
NGC 6981 ,M 72       ,20 53 27.70,-12 32 14.3,9.27,0.72,17,-1.42,-345,3.7,               ,                     ,0.93,0.000135263,4.598938666,-6.882244607
NGC 6517 ,           ,18 01 50.52,-08 57 31.6,10.23,1.75,10.6,-1.23,-39.6,8,               ,                     ,0.5,7.2722E-05,1.541706201,-4.896529326
NGC 6712 ,           ,18 53 04.30,-08 42 22.0,8.1,1.17,6.9,-1.02,-107.6,0.5,4.3,0.4,1.33,0.00019344,2.669478803,-6.094245454
Pal 11   ,           ,19 45 14.40,-08 00 26.0,9.8,1.27,13.4,-0.4,-68,10,               ,                     ,1.46,0.000212348,5.690932022,-5.835523992
NGC 6539 ,           ,18 04 49.68,-07 35 09.1,9.33,1.83,7.8,-0.63,31,1.7,               ,                     ,1.7,0.000247255,3.85717431,-5.130473013
IC 1276  ,Pal 7      ,18 10 44.20,-07 12 27.4,10.34,1.76,5.4,-0.75,155.7,1.3,               ,                     ,2.38,0.000346157,3.738491951,-3.321968799
IC 1257  ,           ,17 27 08.50,-07 05 35.0,13.1,1.38,25,-1.7,-140.2,2.1,               ,                     ,1.4,0.000203622,10.18107856,-3.889700043
NGC 5634 ,           ,14 29 37.23,-05 58 35.1,9.47,0.67,25.2,-1.88,-45.1,6.6,               ,                     ,0.86,0.000125082,6.3041239,-7.537002704
NGC 6366 ,           ,17 27 44.24,-05 04 47.5,9.2,1.44,3.5,-0.59,-122.2,0.5,1.3,0.5,2.92,0.000424696,2.972874803,-3.520340222
NGC 6254 ,M 10       ,16 57 09.05,-04 06 01.1,6.6,0.9,4.4,-1.56,75.2,0.7,6.6,0.8,1.95,0.000283616,2.495818655,-6.617263382
Whiting 1,           ,02 02 57.00,-03 15 10.0,15.03,        ,30.1,-0.7,-130.6,1.8,               ,                     ,0.22,3.19977E-05,1.92626009,-2.362832478
NGC 6402 ,M 14       ,17 37 36.10,-03 14 45.3,7.59,1.25,9.3,-1.28,-66.1,1.8,               ,                     ,1.3,0.000189077,3.51683543,-7.252414743
NGC 6218 ,M 12       ,16 47 14.18,-01 56 54.7,6.7,0.83,4.8,-1.37,-41.4,0.2,4.5,0.4,1.77,0.000257436,2.471384079,-6.706206187
GLIMPSE01,           ,18 48 49.70,-01 29 50.0,22.24,        ,4.2,           ,               ,                     ,               ,                     ,0.65,9.45386E-05,0.794124137,9.123753548
NGC 7089 ,M 2        ,21 33 27.02,-00 49 23.7,6.47,0.66,11.5,-1.65,-5.3,2,8.2,0.6,1.06,0.000154171,3.54592424,-8.833489202
Pal 15   ,           ,16 59 51.00,-00 32 20.0,14,        ,45.1,-2.07,68.9,1.1,               ,                     ,1.1,0.000159988,14.43095172,-4.270882709
